"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 26 15:49:45 CST 2020","Sun Jul 26 15:50:09 CST 2020","24353","","Contact","TestCantast","","","test_delete_contacts","
        1、先点击要删除的人名，进入到个人信息页面
        2、点击右上角-＞点击编辑成员，进入编辑成员页面
        3、点击删除按钮

        :return:
        "
"passed","Sun Jul 26 15:48:55 CST 2020","Sun Jul 26 15:49:18 CST 2020","22428","","Contact","TestCantast","","","test_add_contacts","
        1、通讯录页面点击添加成员按钮跳转到添加成员页面
        2、添加成员页面点击手动输入添加
        3、输入姓名、手机号，选择部门
        4、点击保存
        :return:
        "
